,School Year,Grade Level,Count of Students
130.0,20042005,5,49
132.0,20052006,5,29
132.0,20082009,K,25
132.0,20062007,1,25
132.0,20062007,2,19
132.0,20062007,3,23
132.0,20062007,5,24
132.0,20072008,K,26
132.0,20072008,1,18
132.0,20072008,2,27
132.0,20072008,3,15
132.0,20072008,4,25
132.0,20072008,5,24
132.0,20082009,1,27
132.0,20082009,2,19
132.0,20082009,3,26
132.0,20082009,4,18
132.0,20082009,5,26
132.0,20092010,K,21
132.0,20092010,1,32
132.0,20092010,2,29
132.0,20092010,3,22
132.0,20092010,4,25
132.0,20092010,5,19
132.0,20102011,K,26
132.0,20102011,1,28
132.0,20102011,2,30
132.0,20102011,3,32
132.0,20102011,4,20
132.0,20102011,5,28
132.0,20062007,K,25
132.0,20052006,4,26
132.0,20062007,4,27
132.0,20052006,2,20
132.0,20012002,K,21
132.0,20012002,1,18
132.0,20012002,2,19
132.0,20012002,3,25
132.0,20012002,4,24
132.0,20012002,5,15
132.0,20022003,K,17
132.0,20022003,1,18
132.0,20052006,3,26
132.0,20022003,3,20
132.0,20022003,4,28
132.0,20022003,5,24
132.0,20032004,K,15
132.0,20032004,1,19
132.0,20022003,2,26
132.0,20052006,1,19
132.0,20032004,2,17
132.0,20052006,K,16
132.0,20042005,5,20
132.0,20042005,4,27
132.0,20042005,2,21
132.0,20042005,3,25
132.0,20042005,K,19
132.0,20032004,5,22
132.0,20032004,4,18
132.0,20032004,3,23
132.0,20042005,1,20
134.0,20082009,1,32
134.0,20072008,3,33
134.0,20082009,K,32
134.0,20072008,5,27
134.0,20072008,4,31
134.0,20072008,2,34
134.0,20062007,4,30
134.0,20072008,K,31
134.0,20062007,5,24
134.0,20062007,1,31
134.0,20062007,2,32
134.0,20082009,2,21
134.0,20062007,3,33
134.0,20072008,1,22
134.0,20082009,3,36
134.0,20032004,K,31
134.0,20082009,5,31
134.0,20092010,K,28
134.0,20092010,1,36
134.0,20092010,2,33
134.0,20092010,3,21
134.0,20092010,4,35
134.0,20092010,5,31
134.0,20102011,K,37
134.0,20102011,1,41
134.0,20102011,2,41
134.0,20062007,K,25
134.0,20102011,3,32
134.0,20102011,4,25
134.0,20102011,5,36
134.0,20082009,4,31
134.0,20052006,5,31
134.0,20012002,3,31
134.0,20052006,3,31
134.0,20012002,K,24
134.0,20012002,1,32
134.0,20012002,2,31
134.0,20012002,4,35
134.0,20012002,5,16
134.0,20022003,K,29
134.0,20052006,4,28
134.0,20022003,2,39
134.0,20022003,3,31
134.0,20022003,4,33
134.0,20022003,5,40
134.0,20032004,1,30
134.0,20022003,1,24
134.0,20032004,3,38
134.0,20032004,2,28
134.0,20052006,1,29
134.0,20052006,K,27
134.0,20042005,5,33
134.0,20042005,4,31
134.0,20042005,3,33
134.0,20052006,2,30
134.0,20042005,1,32
134.0,20042005,K,32
134.0,20032004,5,30
134.0,20032004,4,34
134.0,20042005,2,30
136.0,20082009,1,31
136.0,20082009,K,26
136.0,20072008,5,26
136.0,20072008,4,28
136.0,20072008,3,30
136.0,20072008,2,17
136.0,20062007,5,30
136.0,20072008,K,28
136.0,20062007,1,17
136.0,20062007,2,29
136.0,20062007,3,30
136.0,20062007,4,26
136.0,20082009,2,33
136.0,20072008,1,34
136.0,20082009,3,15
136.0,20052006,2,29
136.0,20082009,5,29
136.0,20092010,K,36
136.0,20092010,1,32
136.0,20092010,2,32
136.0,20092010,3,34
136.0,20092010,4,17
136.0,20092010,5,28
136.0,20102011,K,37
136.0,20102011,1,37
136.0,20102011,2,36
136.0,20062007,K,35
136.0,20102011,3,33
136.0,20102011,4,31
136.0,20102011,5,23
136.0,20082009,4,26
136.0,20052006,5,25
136.0,20022003,4,31
136.0,20052006,3,25
136.0,20052006,4,27
136.0,20012002,K,31
136.0,20012002,1,22
136.0,20012002,2,24
136.0,20012002,3,33
136.0,20012002,4,18
136.0,20012002,5,24
136.0,20022003,K,21
136.0,20022003,2,22
136.0,20022003,3,26
136.0,20022003,5,20
136.0,20032004,K,23
136.0,20032004,1,26
136.0,20022003,1,29
136.0,20032004,3,24
136.0,20032004,2,29
136.0,20052006,1,31
136.0,20052006,K,22
136.0,20042005,5,28
136.0,20042005,4,22
136.0,20042005,2,25
136.0,20042005,3,27
136.0,20042005,K,34
136.0,20032004,5,28
136.0,20032004,4,30
136.0,20042005,1,24
138.0,20072008,1,12
138.0,20072008,4,8
138.0,20072008,5,11
138.0,20072008,3,20
138.0,20072008,2,14
138.0,20072008,K,10
138.0,20062007,1,18
138.0,20062007,4,15
138.0,20062007,3,13
138.0,20062007,2,22
138.0,20052006,5,11
138.0,20082009,K,24
138.0,20062007,K,15
138.0,20062007,5,15
138.0,20082009,1,8
138.0,20102011,2,30
138.0,20082009,3,14
138.0,20082009,4,18
138.0,20082009,5,12
138.0,20092010,K,10
138.0,20092010,1,30
138.0,20092010,2,13
138.0,20092010,3,12
138.0,20092010,4,12
138.0,20092010,5,16
138.0,20102011,K,21
138.0,20102011,1,13
138.0,20102011,3,16
138.0,20102011,4,13
138.0,20102011,5,11
138.0,20082009,2,14
138.0,20052006,4,15
138.0,20052006,2,9
138.0,20052006,1,19
138.0,20052006,3,15
138.0,20012002,K,13
138.0,20012002,1,18
138.0,20012002,2,6
138.0,20012002,3,20
138.0,20012002,4,7
138.0,20012002,5,15
138.0,20022003,1,12
138.0,20022003,2,16
138.0,20022003,3,7
138.0,20022003,4,18
138.0,20022003,5,7
138.0,20022003,K,15
138.0,20032004,1,14
138.0,20052006,K,14
138.0,20032004,K,11
138.0,20042005,5,6
138.0,20042005,4,12
138.0,20042005,3,17
138.0,20042005,1,8
138.0,20042005,2,14
138.0,20032004,5,16
138.0,20032004,4,5
138.0,20032004,3,12
138.0,20032004,2,14
138.0,20042005,K,15
140.0,20062007,4,16
140.0,20072008,1,5
140.0,20072008,K,8
140.0,20062007,5,14
140.0,20062007,3,20
140.0,20052006,3,17
140.0,20062007,1,8
140.0,20062007,K,7
140.0,20052006,5,12
140.0,20052006,4,16
140.0,20072008,2,7
140.0,20062007,2,7
140.0,20072008,3,6
140.0,20092010,4,10
140.0,20072008,5,15
140.0,20082009,K,6
140.0,20082009,1,9
140.0,20082009,2,3
140.0,20082009,3,7
140.0,20082009,4,6
140.0,20082009,5,19
140.0,20092010,K,12
140.0,20092010,1,7
140.0,20092010,2,10
140.0,20052006,2,18
140.0,20092010,3,7
140.0,20092010,5,5
140.0,20072008,4,18
140.0,20052006,1,6
140.0,20102011,3,9
140.0,20042005,5,8
140.0,20102011,4,6
140.0,20102011,5,10
140.0,20102011,1,13
140.0,20102011,K,8
140.0,20012002,K,15
140.0,20012002,1,13
140.0,20012002,2,11
140.0,20012002,3,9
140.0,20012002,4,9
140.0,20012002,5,7
140.0,20022003,K,19
140.0,20022003,1,17
140.0,20022003,2,12
140.0,20022003,3,8
140.0,20022003,4,12
140.0,20022003,5,9
140.0,20032004,K,13
140.0,20032004,1,18
140.0,20032004,2,15
140.0,20032004,3,14
140.0,20032004,4,8
140.0,20032004,5,10
140.0,20042005,K,5
140.0,20042005,1,16
140.0,20042005,2,18
140.0,20042005,3,17
140.0,20042005,4,12
140.0,20052006,K,8
140.0,20102011,2,8
142.0,20062007,5,19
142.0,20102011,3,26
142.0,20062007,2,22
142.0,20062007,3,20
142.0,20062007,4,18
142.0,20072008,K,23
142.0,20072008,1,23
142.0,20072008,2,17
142.0,20072008,3,18
142.0,20072008,4,19
142.0,20072008,5,20
142.0,20082009,K,18
142.0,20082009,1,26
142.0,20082009,2,18
142.0,20062007,1,17
142.0,20082009,3,16
142.0,20082009,5,14
142.0,20092010,K,29
142.0,20092010,1,17
142.0,20092010,2,26
142.0,20092010,3,14
142.0,20092010,4,12
142.0,20092010,5,16
142.0,20102011,K,29
142.0,20102011,2,20
142.0,20102011,5,12
142.0,20102011,1,28
142.0,20102011,4,14
142.0,20082009,4,16
142.0,20062007,K,19
142.0,20012002,K,21
142.0,20052006,4,20
142.0,20012002,2,26
142.0,20012002,1,32
142.0,20012002,3,15
142.0,20012002,4,12
142.0,20012002,5,15
142.0,20022003,K,29
142.0,20022003,1,20
142.0,20022003,2,25
142.0,20022003,3,18
142.0,20022003,4,15
142.0,20022003,5,12
142.0,20032004,K,20
142.0,20032004,1,24
142.0,20052006,5,13
142.0,20032004,3,21
142.0,20032004,2,24
142.0,20052006,2,19
142.0,20052006,1,23
142.0,20052006,K,19
142.0,20042005,5,23
142.0,20042005,4,20
142.0,20052006,3,17
142.0,20042005,2,19
142.0,20042005,1,20
142.0,20042005,K,25
142.0,20032004,5,22
142.0,20032004,4,21
142.0,20042005,3,21
148.0,20072008,5,7
148.0,20072008,4,8
148.0,20072008,3,12
148.0,20072008,2,11
148.0,20072008,1,3
148.0,20062007,5,3
148.0,20062007,4,6
148.0,20062007,3,9
148.0,20062007,2,10
148.0,20082009,K,7
148.0,20062007,1,11
148.0,20072008,K,7
148.0,20082009,1,6
148.0,20092010,2,7
148.0,20082009,3,11
148.0,20082009,4,13
148.0,20082009,5,8
148.0,20092010,K,9
148.0,20092010,1,7
148.0,20092010,3,5
148.0,20092010,4,11
148.0,20092010,5,11
148.0,20102011,K,7
148.0,20102011,1,10
148.0,20102011,2,7
148.0,20102011,3,7
148.0,20102011,5,10
148.0,20082009,2,3
148.0,20102011,4,5
148.0,20062007,K,2
148.0,20052006,4,3
148.0,20012002,K,4
148.0,20052006,5,9
148.0,20012002,1,7
148.0,20012002,2,9
148.0,20012002,3,3
148.0,20012002,4,5
148.0,20012002,5,6
148.0,20022003,K,9
148.0,20022003,1,2
148.0,20022003,2,9
148.0,20022003,3,4
148.0,20022003,4,4
148.0,20022003,5,4
148.0,20032004,K,11
148.0,20032004,4,3
148.0,20032004,2,3
148.0,20032004,1,7
148.0,20052006,3,5
148.0,20052006,1,11
148.0,20052006,K,8
148.0,20042005,5,3
148.0,20042005,4,8
148.0,20052006,2,9
148.0,20042005,2,7
148.0,20042005,1,10
148.0,20042005,K,11
148.0,20032004,5,4
148.0,20032004,3,7
148.0,20042005,3,3
150.0,20032004,4,9
150.0,20032004,5,7
150.0,20042005,K,8
150.0,20042005,1,7
150.0,20042005,4,11
150.0,20042005,3,5
150.0,20042005,5,7
150.0,20052006,1,8
150.0,20052006,K,13
150.0,20032004,3,8
150.0,20042005,2,10
150.0,20032004,2,4
150.0,20022003,1,5
150.0,20032004,K,9
150.0,20022003,5,6
150.0,20022003,4,7
150.0,20022003,3,13
150.0,20022003,2,6
150.0,20022003,K,12
150.0,20012002,5,7
150.0,20012002,4,4
150.0,20012002,3,8
150.0,20012002,2,11
150.0,20012002,1,5
150.0,20052006,2,5
150.0,20032004,1,11
150.0,20012002,K,6
150.0,20052006,3,12
150.0,20052006,5,8
150.0,20052006,4,4
150.0,20102011,5,15
150.0,20102011,4,10
150.0,20102011,3,14
150.0,20102011,2,14
150.0,20102011,K,17
150.0,20092010,5,11
150.0,20092010,4,14
150.0,20092010,3,12
150.0,20092010,2,12
150.0,20092010,1,11
150.0,20092010,K,14
150.0,20082009,5,9
150.0,20082009,4,12
150.0,20082009,3,14
150.0,20102011,1,16
150.0,20082009,1,12
150.0,20082009,2,9
150.0,20062007,1,13
150.0,20062007,2,9
150.0,20062007,3,6
150.0,20062007,4,14
150.0,20062007,5,5
150.0,20062007,K,6
150.0,20072008,1,5
150.0,20072008,K,9
150.0,20072008,5,13
150.0,20082009,K,8
150.0,20072008,3,10
150.0,20072008,2,14
150.0,20072008,4,7
152.0,20082009,2,10
152.0,20062007,4,7
152.0,20062007,5,4
152.0,20072008,K,9
152.0,20072008,1,11
152.0,20072008,2,8
152.0,20072008,3,8
152.0,20072008,4,7
152.0,20072008,5,7
152.0,20082009,K,10
152.0,20082009,1,6
152.0,20062007,3,10
152.0,20092010,3,13
152.0,20082009,4,8
152.0,20082009,5,7
152.0,20092010,K,6
152.0,20092010,1,11
152.0,20092010,2,4
152.0,20062007,2,9
152.0,20092010,4,7
152.0,20092010,5,6
152.0,20102011,K,17
152.0,20102011,1,5
152.0,20102011,2,11
152.0,20102011,3,4
152.0,20102011,4,11
152.0,20102011,5,4
152.0,20082009,3,6
152.0,20062007,1,10
152.0,20052006,K,11
152.0,20052006,5,2
152.0,20012002,K,13
152.0,20012002,1,12
152.0,20012002,2,6
152.0,20012002,3,9
152.0,20012002,4,8
152.0,20012002,5,5
152.0,20022003,K,12
152.0,20022003,1,16
152.0,20022003,2,7
152.0,20022003,3,6
152.0,20022003,4,9
152.0,20022003,5,10
152.0,20032004,K,15
152.0,20032004,1,10
152.0,20032004,2,14
152.0,20032004,4,4
152.0,20032004,5,8
152.0,20042005,K,9
152.0,20042005,1,17
152.0,20042005,2,7
152.0,20042005,3,8
152.0,20042005,4,6
152.0,20042005,5,2
152.0,20052006,1,8
152.0,20052006,2,14
152.0,20052006,3,6
152.0,20052006,4,6
152.0,20062007,K,9
152.0,20032004,3,8
160.0,20102011,3,13
160.0,20102011,2,45
160.0,20052006,5,18
160.0,20062007,K,23
160.0,20062007,1,20
160.0,20062007,2,21
160.0,20062007,3,19
160.0,20062007,4,19
160.0,20062007,5,14
160.0,20072008,K,12
160.0,20072008,1,22
160.0,20072008,2,14
160.0,20072008,3,20
160.0,20052006,4,21
160.0,20072008,4,15
160.0,20082009,K,38
160.0,20082009,1,10
160.0,20082009,2,20
160.0,20082009,3,12
160.0,20082009,4,12
160.0,20082009,5,10
160.0,20092010,K,22
160.0,20092010,1,44
160.0,20092010,2,12
160.0,20092010,3,17
160.0,20092010,4,9
160.0,20072008,5,15
160.0,20052006,3,22
160.0,20052006,2,17
160.0,20052006,1,22
160.0,20012002,K,17
160.0,20012002,1,22
160.0,20012002,2,14
160.0,20012002,3,11
160.0,20012002,4,8
160.0,20012002,5,11
160.0,20022003,K,21
160.0,20022003,1,15
160.0,20022003,2,17
160.0,20022003,3,14
160.0,20022003,4,9
160.0,20022003,5,6
160.0,20032004,K,18
160.0,20032004,1,19
160.0,20032004,2,18
160.0,20032004,3,18
160.0,20032004,4,13
160.0,20032004,5,11
160.0,20042005,K,23
160.0,20042005,1,18
160.0,20042005,2,22
160.0,20042005,3,20
160.0,20042005,4,19
160.0,20042005,5,12
160.0,20052006,K,22
160.0,20102011,1,19
160.0,20092010,5,7
160.0,20102011,K,28
160.0,20102011,4,13
160.0,20102011,5,10
162.0,20082009,K,10
162.0,20062007,1,11
162.0,20062007,2,5
162.0,20062007,3,2
162.0,20062007,5,3
162.0,20072008,K,3
162.0,20072008,1,8
162.0,20072008,2,9
162.0,20072008,3,3
162.0,20072008,4,1
162.0,20072008,5,6
162.0,20082009,1,5
162.0,20082009,2,4
162.0,20082009,3,7
162.0,20082009,5,1
162.0,20062007,K,7
162.0,20092010,K,6
162.0,20092010,1,13
162.0,20092010,2,5
162.0,20092010,3,3
162.0,20092010,4,7
162.0,20092010,5,1
162.0,20102011,K,10
162.0,20102011,1,5
162.0,20102011,2,13
162.0,20102011,3,3
162.0,20102011,4,3
162.0,20102011,5,4
162.0,20082009,4,3
162.0,20052006,5,6
162.0,20062007,4,5
162.0,20052006,3,7
162.0,20012002,K,4
162.0,20012002,1,6
162.0,20012002,2,5
162.0,20012002,3,3
162.0,20012002,4,3
162.0,20012002,5,2
162.0,20022003,K,5
162.0,20022003,1,6
162.0,20022003,2,6
162.0,20052006,4,3
162.0,20022003,4,4
162.0,20022003,5,3
162.0,20032004,K,8
162.0,20032004,1,5
162.0,20022003,3,6
162.0,20032004,3,5
162.0,20052006,2,6
162.0,20032004,2,6
162.0,20052006,K,13
162.0,20042005,5,4
162.0,20042005,4,4
162.0,20042005,3,3
162.0,20052006,1,10
162.0,20042005,1,6
162.0,20042005,K,10
162.0,20032004,5,5
162.0,20032004,4,5
162.0,20042005,2,6
164.0,20082009,1,8
164.0,20082009,K,11
164.0,20072008,5,5
164.0,20072008,3,4
164.0,20072008,2,6
164.0,20062007,5,2
164.0,20072008,K,8
164.0,20062007,4,3
164.0,20062007,3,3
164.0,20062007,2,5
164.0,20082009,2,8
164.0,20072008,1,9
164.0,20082009,3,6
164.0,20022003,5,5
164.0,20082009,5,1
164.0,20092010,K,13
164.0,20092010,1,9
164.0,20092010,2,6
164.0,20092010,3,6
164.0,20092010,4,4
164.0,20102011,K,24
164.0,20102011,1,17
164.0,20102011,2,21
164.0,20102011,3,10
164.0,20102011,4,9
164.0,20102011,5,4
164.0,20062007,1,4
164.0,20082009,4,2
164.0,20062007,K,12
164.0,20012002,2,7
164.0,20052006,4,2
164.0,20012002,K,2
164.0,20012002,1,7
164.0,20012002,3,4
164.0,20012002,4,10
164.0,20012002,5,4
164.0,20022003,K,1
164.0,20052006,5,2
164.0,20022003,2,7
164.0,20022003,3,9
164.0,20022003,4,3
164.0,20032004,1,1
164.0,20032004,2,4
164.0,20022003,1,5
164.0,20032004,4,4
164.0,20032004,3,6
164.0,20052006,2,1
164.0,20052006,1,7
164.0,20052006,K,2
164.0,20042005,5,3
164.0,20052006,3,2
164.0,20042005,3,1
164.0,20042005,2,1
164.0,20042005,K,4
164.0,20032004,5,2
164.0,20042005,4,4
166.0,20082009,1,3
166.0,20082009,K,6
166.0,20072008,5,4
166.0,20072008,4,6
166.0,20072008,3,7
166.0,20072008,2,4
166.0,20072008,K,3
166.0,20062007,5,10
166.0,20062007,4,4
166.0,20062007,3,4
166.0,20062007,2,8
166.0,20082009,2,2
166.0,20072008,1,3
166.0,20082009,3,5
166.0,20032004,2,7
166.0,20082009,5,5
166.0,20092010,K,5
166.0,20092010,1,6
166.0,20092010,2,3
166.0,20092010,3,3
166.0,20092010,4,5
166.0,20092010,5,8
166.0,20102011,K,5
166.0,20102011,1,7
166.0,20102011,2,7
166.0,20102011,3,4
166.0,20102011,4,4
166.0,20102011,5,6
166.0,20062007,1,5
166.0,20082009,4,8
166.0,20062007,K,2
166.0,20022003,K,7
166.0,20052006,4,7
166.0,20052006,5,13
166.0,20012002,1,8
166.0,20012002,2,12
166.0,20012002,3,7
166.0,20012002,4,6
166.0,20012002,5,9
166.0,20022003,1,7
166.0,20022003,2,11
166.0,20022003,3,15
166.0,20022003,4,8
166.0,20022003,5,8
166.0,20032004,K,3
166.0,20032004,1,7
166.0,20012002,K,9
166.0,20032004,3,11
166.0,20052006,3,4
166.0,20052006,1,9
166.0,20052006,K,7
166.0,20042005,5,13
166.0,20042005,4,13
166.0,20052006,2,6
166.0,20042005,2,4
166.0,20042005,1,5
166.0,20042005,K,9
166.0,20032004,5,9
166.0,20042005,3,8
166.0,20032004,4,13
168.0,20062007,2,5
168.0,20082009,K,18
168.0,20072008,5,16
168.0,20072008,4,6
168.0,20072008,3,6
168.0,20072008,2,8
168.0,20072008,K,5
168.0,20062007,5,6
168.0,20062007,4,16
168.0,20062007,3,7
168.0,20082009,1,4
168.0,20072008,1,13
168.0,20082009,2,11
168.0,20092010,2,4
168.0,20082009,4,5
168.0,20082009,5,6
168.0,20092010,K,7
168.0,20092010,1,24
168.0,20102011,5,8
168.0,20092010,3,11
168.0,20092010,4,8
168.0,20092010,5,7
168.0,20102011,K,10
168.0,20102011,1,10
168.0,20102011,2,21
168.0,20102011,3,6
168.0,20062007,1,10
168.0,20102011,4,12
168.0,20082009,3,9
168.0,20062007,K,13
168.0,20042005,3,9
168.0,20052006,4,6
168.0,20012002,K,9
168.0,20012002,1,11
168.0,20012002,2,4
168.0,20012002,3,3
168.0,20012002,4,5
168.0,20012002,5,11
168.0,20052006,5,15
168.0,20022003,1,6
168.0,20022003,2,11
168.0,20022003,3,4
168.0,20022003,4,4
168.0,20022003,5,6
168.0,20032004,K,14
168.0,20022003,K,14
168.0,20032004,2,6
168.0,20032004,1,14
168.0,20052006,3,17
168.0,20052006,2,8
168.0,20052006,1,6
168.0,20042005,5,5
168.0,20042005,4,15
168.0,20052006,K,9
168.0,20042005,1,9
168.0,20042005,K,6
168.0,20032004,5,5
168.0,20032004,4,4
168.0,20032004,3,14
168.0,20042005,2,17
170.0,20042005,1,32
170.0,20032004,3,32
170.0,20032004,4,30
170.0,20032004,5,24
170.0,20042005,K,19
170.0,20042005,2,29
170.0,20032004,2,34
170.0,20042005,4,27
170.0,20042005,5,32
170.0,20052006,K,28
170.0,20052006,1,19
170.0,20052006,2,33
170.0,20042005,3,37
170.0,20032004,1,29
170.0,20102011,4,18
170.0,20022003,5,27
170.0,20022003,4,23
170.0,20022003,3,30
170.0,20022003,2,29
170.0,20022003,1,33
170.0,20022003,K,30
170.0,20012002,5,35
170.0,20012002,4,27
170.0,20012002,3,19
170.0,20012002,2,29
170.0,20012002,1,30
170.0,20012002,K,28
170.0,20052006,3,33
170.0,20032004,K,30
170.0,20052006,4,39
170.0,20052006,5,32
170.0,20062007,K,16
170.0,20102011,3,25
170.0,20102011,5,25
170.0,20102011,1,24
170.0,20102011,K,43
170.0,20092010,5,27
170.0,20092010,4,26
170.0,20092010,3,17
170.0,20092010,2,31
170.0,20092010,1,42
170.0,20092010,K,23
170.0,20082009,5,40
170.0,20082009,4,16
170.0,20082009,3,29
170.0,20102011,2,40
170.0,20082009,1,20
170.0,20062007,1,28
170.0,20062007,2,19
170.0,20062007,3,38
170.0,20062007,5,44
170.0,20072008,K,14
170.0,20062007,4,35
170.0,20072008,2,28
170.0,20072008,3,15
170.0,20072008,4,37
170.0,20072008,5,34
170.0,20082009,K,32
170.0,20072008,1,14
170.0,20082009,2,12
172.0,20072008,2,22
172.0,20082009,K,33
172.0,20072008,5,41
172.0,20072008,4,25
172.0,20072008,3,32
172.0,20062007,2,29
172.0,20072008,K,17
172.0,20062007,5,39
172.0,20062007,4,41
172.0,20062007,3,16
172.0,20082009,1,19
172.0,20072008,1,16
172.0,20082009,2,15
172.0,20092010,4,27
172.0,20082009,5,25
172.0,20092010,K,18
172.0,20092010,1,36
172.0,20092010,2,25
172.0,20092010,3,13
172.0,20062007,1,26
172.0,20102011,K,44
172.0,20102011,1,17
172.0,20102011,2,44
172.0,20102011,3,25
172.0,20102011,4,13
172.0,20102011,5,26
172.0,20082009,3,27
172.0,20062007,K,14
172.0,20092010,5,32
172.0,20052006,4,33
172.0,20012002,K,25
172.0,20052006,5,30
172.0,20012002,1,19
172.0,20012002,2,20
172.0,20012002,3,25
172.0,20012002,4,23
172.0,20012002,5,29
172.0,20022003,K,31
172.0,20022003,1,25
172.0,20022003,2,21
172.0,20022003,3,25
172.0,20022003,4,24
172.0,20022003,5,24
172.0,20032004,K,15
172.0,20032004,1,34
172.0,20082009,4,34
172.0,20032004,2,29
172.0,20052006,3,38
172.0,20052006,2,15
172.0,20052006,1,26
172.0,20052006,K,23
172.0,20042005,5,23
172.0,20042005,3,33
172.0,20042005,4,25
172.0,20042005,1,17
172.0,20042005,K,21
172.0,20032004,5,23
172.0,20032004,4,21
172.0,20032004,3,17
172.0,20042005,2,34
174.0,20072008,4,14
174.0,20082009,K,15
174.0,20072008,5,13
174.0,20072008,3,5
174.0,20062007,2,10
174.0,20072008,1,3
174.0,20072008,K,9
174.0,20062007,5,13
174.0,20062007,4,12
174.0,20062007,3,14
174.0,20072008,2,6
174.0,20082009,1,9
174.0,20092010,K,7
174.0,20082009,3,8
174.0,20082009,4,6
174.0,20082009,5,14
174.0,20062007,1,5
174.0,20092010,1,15
174.0,20092010,2,11
174.0,20092010,3,5
174.0,20092010,4,10
174.0,20092010,5,7
174.0,20102011,K,15
174.0,20102011,1,7
174.0,20102011,2,17
174.0,20082009,2,3
174.0,20062007,K,3
174.0,20042005,5,13
174.0,20052006,4,12
174.0,20012002,K,13
174.0,20012002,1,14
174.0,20012002,2,8
174.0,20012002,3,11
174.0,20012002,4,8
174.0,20012002,5,7
174.0,20022003,K,10
174.0,20022003,1,13
174.0,20022003,2,16
174.0,20022003,3,9
174.0,20022003,4,12
174.0,20022003,5,8
174.0,20032004,K,12
174.0,20032004,1,8
174.0,20032004,2,13
174.0,20032004,4,13
174.0,20032004,5,12
174.0,20042005,K,10
174.0,20042005,1,13
174.0,20042005,2,13
174.0,20042005,3,13
174.0,20042005,4,15
174.0,20102011,3,9
174.0,20052006,K,6
174.0,20052006,1,10
174.0,20052006,2,15
174.0,20052006,3,13
174.0,20052006,5,12
174.0,20032004,3,14
174.0,20102011,4,4
174.0,20102011,5,8
176.0,20012002,K,19
176.0,20062007,4,14
176.0,20062007,5,13
176.0,20072008,K,5
176.0,20072008,1,5
176.0,20072008,2,10
176.0,20072008,3,8
176.0,20072008,4,14
176.0,20072008,5,12
176.0,20082009,K,12
176.0,20082009,1,4
176.0,20082009,2,4
176.0,20082009,3,9
176.0,20082009,4,6
176.0,20082009,5,12
176.0,20092010,K,10
176.0,20092010,1,16
176.0,20092010,2,5
176.0,20092010,3,6
176.0,20092010,4,8
176.0,20092010,5,6
176.0,20102011,K,24
176.0,20102011,1,10
176.0,20102011,2,13
176.0,20102011,3,6
176.0,20102011,4,7
176.0,20102011,5,8
176.0,20062007,3,14
176.0,20062007,2,9
176.0,20022003,5,14
176.0,20062007,K,5
176.0,20062007,1,8
176.0,20012002,2,16
176.0,20012002,3,22
176.0,20012002,4,15
176.0,20012002,5,15
176.0,20022003,K,20
176.0,20022003,1,14
176.0,20022003,2,25
176.0,20022003,3,15
176.0,20022003,4,19
176.0,20032004,K,11
176.0,20032004,1,17
176.0,20032004,2,17
176.0,20032004,3,24
176.0,20012002,1,24
176.0,20032004,5,15
176.0,20032004,4,17
176.0,20052006,5,15
176.0,20052006,4,14
176.0,20052006,3,14
176.0,20052006,1,9
176.0,20052006,K,7
176.0,20052006,2,12
176.0,20042005,4,19
176.0,20042005,3,13
176.0,20042005,2,15
176.0,20042005,1,12
176.0,20042005,K,10
176.0,20042005,5,17
178.0,20072008,5,23
178.0,20082009,2,17
178.0,20082009,1,13
178.0,20082009,K,15
178.0,20072008,4,22
178.0,20062007,4,16
178.0,20072008,2,18
178.0,20072008,1,23
178.0,20072008,K,15
178.0,20062007,5,19
178.0,20062007,3,20
178.0,20072008,3,16
178.0,20082009,3,17
178.0,20092010,3,17
178.0,20082009,5,21
178.0,20092010,K,19
178.0,20092010,1,19
178.0,20092010,2,14
178.0,20092010,4,16
178.0,20092010,5,17
178.0,20102011,K,30
178.0,20102011,1,22
178.0,20102011,2,18
178.0,20102011,3,13
178.0,20102011,4,15
178.0,20062007,2,17
178.0,20102011,5,14
178.0,20082009,4,14
178.0,20062007,1,18
178.0,20032004,4,27
178.0,20052006,5,21
178.0,20012002,K,27
178.0,20012002,2,28
178.0,20012002,3,30
178.0,20012002,4,17
178.0,20012002,5,19
178.0,20022003,K,23
178.0,20022003,1,25
178.0,20022003,2,23
178.0,20022003,3,31
178.0,20022003,4,24
178.0,20022003,5,18
178.0,20032004,K,15
178.0,20032004,1,21
178.0,20032004,2,18
178.0,20032004,3,24
178.0,20032004,5,26
178.0,20042005,K,18
178.0,20042005,1,13
178.0,20042005,2,20
178.0,20042005,3,25
178.0,20042005,4,21
178.0,20042005,5,24
178.0,20052006,K,14
178.0,20052006,1,17
178.0,20052006,2,14
178.0,20052006,3,16
178.0,20052006,4,19
178.0,20062007,K,21
178.0,20012002,1,20
180.0,20102011,4,13
180.0,20082009,1,14
180.0,20062007,1,25
180.0,20062007,2,22
180.0,20062007,3,26
180.0,20062007,4,23
180.0,20072008,K,20
180.0,20072008,1,19
180.0,20072008,2,20
180.0,20072008,3,20
180.0,20072008,4,28
180.0,20072008,5,19
180.0,20082009,K,24
180.0,20082009,2,18
180.0,20062007,K,19
180.0,20082009,3,22
180.0,20082009,5,28
180.0,20092010,K,23
180.0,20092010,1,29
180.0,20092010,2,16
180.0,20092010,3,17
180.0,20092010,4,22
180.0,20092010,5,25
180.0,20102011,K,28
180.0,20102011,1,19
180.0,20102011,2,30
180.0,20102011,3,14
180.0,20102011,5,21
